src,dst
1009,132830
166997,142
142,166997
189823,148
148,189823
381560,954
954,381560
430776,801
801,430776
484018,35
35,484018
505529,183
183,505529
100,30
30,100
1519,878
878,1519
1449,38
38,1449
1555,774
774,1555
1754,34
34,1754
1863,228
228,1863
3110,792
792,3110
3306,804
804,3306
3861,846
846,3861
9022,96
96,9022
11736,148
148,11736
14440,298
298,14440
15682,29
29,15682
23482,142
142,23482
26563,35
35,26563
26590,96
96,26590
6397,142
142,6397
541,38
38,541
6231,38
38,6231
919,159
159,919
6252,38
38,6252
1310,55
55,1310
6157,33
33,6157
2235,159
159,2235
6221,38
38,6221
2704,38
38,2704
6088,38
38,6088
2746,159
159,2746
2973,183
183,2973
6046,38
38,6046
3104,183
183,3104
3617,224
224,3617
3711,403
403,3711
6226,145
145,6226
3852,183
183,3852
4126,183
183,4126
5168,159
159,5168
5489,142
142,5489
5687,219060
219060,5687
8385,213
213,8385
6122,38
38,6122
8848,142
142,8848
13142,38
38,13142
14325,29
29,14325
15174,148
148,15174
16069,183
183,16069
23148,145
145,23148
25331,35
35,25331
34116,16
16,34116
34692,766
766,34692
41185,142
142,41185
42716,142
142,42716
5968,38
38,5968
44244,414
414,44244
52535,414
414,52535
59300,38
38,59300
141881,16
16,141881
152385,801
801,152385
154888,213
213,154888
165090,142
142,165090
168648,28
28,168648
170247,148
148,170247
170322,148
148,170322
170996,218
218,170996
171223,28
28,171223
171357,28
28,171357
173474,219
219,173474
174091,148
148,174091
174665,218
218,174665
6285,38
38,6285
180139,213
213,180139
181946,142
142,181946
182625,16
16,182625
186254,219
219,186254
201723,148
148,201723
203645,142
142,203645
208669,155
155,208669
209034,96
96,209034
239078,142
142,239078
262684,183
183,262684
271000,1008
1008,271000
6009,33
33,6009
297010,189
189,297010
311539,183
183,311539
353618,29
29,353618
360326,148
148,360326
466221,902
902,466221
478232,38
38,478232
486696,20
20,486696
486704,20
20,486704
502644,35
35,502644
505057,34
34,505057
512002,34
34,512002
515318,34
34,515318
605513,408
408,605513
610558,148
148,610558
774508,148
148,774508
6172,33
33,6172
948462,34
34,948462
1016933,30
30,1016933
1020595,30
30,1020595
1023900,148
148,1023900
16010,32
32,16010
16012,32
32,16012
1132,183
183,1132
15928,215
215,15928
15883,215
215,15883
2760,183
183,2760
2790,38
38,2790
15899,215
215,15899
3004,183
183,3004
3042,183
183,3042
15877,215
215,15877
3786,183
183,3786
15906,215
215,15906
15868,215
215,15868
7059,183
183,7059
15471,29
29,15471
16022,183
183,16022
10784,183
183,10784
15916,215
215,15916
13279,224
224,13279
15876,215
215,15876
16934,38
38,16934
26849,142
142,26849
34370,55
55,34370
36989,213
213,36989
45412,45
45,45412
15926,215
215,15926
46722,38
38,46722
47513,38
38,47513
51855,38
38,51855
15855,215
215,15855
53376,38
38,53376
15890,215
215,15890
60037,28
28,60037
67159,39
39,67159
73831,38
38,73831
94978,38
38,94978
15984,183
183,15984
104712,36
36,104712
117312,38
38,117312
156704,212
212,156704
157061,221
221,157061
158004,36
36,158004
158089,183
183,158089
165958,183
183,165958
179034,31
31,179034
15917,215
215,15917
182025,43
43,182025
15918,215
215,15918
188082,213
213,188082
189236,38
38,189236
189419,403
403,189419
208110,214
214,208110
208200,236
236,208200
213288,142
142,213288
223353,224
224,223353
234743,142
142,234743
235739,142
142,235739
237674,31
31,237674
251325,40
40,251325
255888,183
183,255888
262669,183
183,262669
265647,145
145,265647
277965,40
40,277965
279642,17
17,279642
318535,142
142,318535
15930,215
215,15930
397600,224
224,397600
504580,45
45,504580
516262,183
183,516262
604516,28
28,604516
656494,142
142,656494
668324,29
29,668324
15639,29
29,15639
669715,142
142,669715
675834,40
40,675834
688974,40
40,688974
755681,28
28,755681
854965,28
28,854965
15858,215
215,15858
1019360,213
213,1019360
1094308,28
28,1094308
1223508,221
221,1223508
2680952,55
55,2680952
56425793,229
229,56425793
3070,800
800,3070
3012,183
183,3012
34261,790
790,34261
34427,142
142,34427
36433,45
45,36433
40898,142
142,40898
4301,924
924,4301
41819,30
30,41819
43453,213
213,43453
45779,28
28,45779
46849,183
183,46849
49229,30
30,49229
50195,38
38,50195
58780,31
31,58780
60453,55
55,60453
61092,833
833,61092
68481,148
148,68481
4113,183
183,4113
69284,142
142,69284
72778,148
148,72778
74881,148
148,74881
79820,30
30,79820
79990,664
664,79990
81581,28
28,81581
82765,36
36,82765
82842,38
38,82842
102217,184
184,102217
104731,36
36,104731
114257,222
222,114257
126148,1028
1028,126148
4011,183
183,4011
127063,43
43,127063
146820,36
36,146820
147402,96
96,147402
156711,212
212,156711
158119,219060
219060,158119
187593,974
974,187593
189502,219
219,189502
200709,36
36,200709
200797,184
184,200797
4108,183
183,4108
203278,142
142,203278
203529,142
142,203529
209801,17
17,209801
213501,142
142,213501
216479,38
38,216479
233129,30
30,233129
271152,38
38,271152
273779,1041
1041,273779
318018,36
36,318018
319397,36
36,319397
337394,224
224,337394
485329,29
29,485329
486985,183
183,486985
492868,40
40,492868
495802,17
17,495802
527391,145
145,527391
574146,183
183,574146
653446,17
17,653446
755559,30
30,755559
845991,142
142,845991
875641,40
40,875641
2670398,801
801,2670398
3476,38
38,3476
2751,38
38,2751
3437,38
38,3437
3806,183
183,3806
5083,30
30,5083
13464,38
38,13464
13670,38
38,13670
18400,38
38,18400
47465,142
142,47465
79808,218
218,79808
184587,30
30,184587
271395,30
30,271395
3932,1039
1039,3932
3882,398
398,3882
761,36
36,761
3876,1020
1020,3876
3904,1050
1050,3904
3909,1013
1013,3909
3572,948
948,3572
3761,117
117,3761
3825,1000
1000,3825
3859,1037
1037,3859
3894,1036
1036,3894
5426,159
159,5426
5540,159
159,5540
5831,29
29,5831
3929,1027
1027,3929
16258,77
77,16258
16461,16
16,16461
134635,17
17,134635
1131258,30
30,1131258
4115712,37
37,4115712
12829733,155
155,12829733
121157,794
794,121157
121378,41
41,121378
157032,221
221,157032
167394,403
403,167394
168652,34754
34754,168652
174684,225
225,174684
178663,1028
1028,178663
185125,17
17,185125
1906,38
38,1906
187938,218
218,187938
198222,148
148,198222
205832,41
41,205832
272243,31
31,272243
504215,419
419,504215
844130,17
17,844130
1425428,145
145,1425428
2071681,213
213,2071681
3252409,41
41,3252409
4418748,1028
1028,4418748
116341,222
222,116341
35997,43
43,35997
44237,414
414,44237
54739,38
38,54739
54898,29
29,54898
81033,96
96,81033
100188,218
218,100188
159273,419
419,159273
181966,17
17,181966
200459,45
45,200459
206933,45
45,206933
209779,17
17,209779
360268,148
148,360268
386991,96
96,386991
425410,45
45,425410
433574,155
155,433574
468557,30
30,468557
816115,45
45,816115
2201876,733
733,2201876
66568,668
668,66568
88,30
30,88
123709,145
145,123709
175459,227
227,175459
180918,229
229,180918
192926,219
219,192926
199500,399
399,199500
220445,833
833,220445
487648,34
34,487648
7473516,17
17,7473516
28870916,229
229,28870916
1342,30
30,1342
4803,252
252,4803
993149,1030
1030,993149
1002490,30
30,1002490
3505448,30
30,3505448
44915571,191
191,44915571
34932,408
408,34932
41211,30
30,41211
61306,96
96,61306
1495025,189
189,1495025
1649698,29
29,1649698
2991314,219
219,2991314
2766547,55
55,2766547
3370,224
224,3370
3114,408
408,3114
47037646,664
664,47037646
653895,29
29,653895
694833,155
155,694833
1055925,142
142,1055925
3141,408
408,3141
617,38
38,617
3376,38
38,3376
3415,38
38,3415
1711,183
183,1711
3214,183
183,3214
1724,183
183,1724
2765,183
183,2765
3490,159
159,3490
3955,183
183,3955
3994,183
183,3994
6624,38
38,6624
6716,38
38,6716
9310,252
252,9310
10313,29
29,10313
13138,38
38,13138
13360,38
38,13360
16003,183
183,16003
16552,30
30,16552
16558,30
30,16558
20934,884
884,20934
22690,142
142,22690
3183,408
408,3183
30002,148
148,30002
44206,414
414,44206
62823,739
739,62823
72259,145
145,72259
104720,36
36,104720
130212,28
28,130212
133123,41
41,133123
144983,214
214,144983
145948,20
20,145948
158095,183
183,158095
161967,36
36,161967
165972,30
30,165972
169134,17
17,169134
170497,145
145,170497
175632,145
145,175632
185114,219
219,185114
193370,142
142,193370
206895,43
43,206895
214956,213
213,214956
540312,17
17,540312
696074,419
419,696074
749196,27
27,749196
920466,145
145,920466
973974,213
213,973974
1026270,419
419,1026270
2448188,96
96,2448188
2596325,215
215,2596325
1647,224
224,1647
1640,224
224,1640
807,39
39,807
1010,215
215,1010
2861,183
183,2861
2948,183
183,2948
3046,183
183,3046
3238,783
783,3238
3274,811
811,3274
1538,668
668,1538
6537,38
38,6537
8471,38
38,8471
8745,29
29,8745
8972,96
96,8972
11974,29
29,11974
14328,29
29,14328
16553,30
30,16553
23438,874
874,23438
26087,20
20,26087
26397,214
214,26397
47837,1028
1028,47837
5713,874
874,5713
456,142
142,456
459,219
219,459
894,159
159,894
3014,183
183,3014
3579,1016
